name, s, f, w, tautorsion, label, angle, shift, h0 info, h0 target, h1 info, h1 target, h2 info, h2 target, h3 info, h3 target
1,0,0,0,0,,-90,0,,h0,,h1,,h2,,h3
h0,0,1,0,0,h_0,210,0,,h0^2,,,,h0 h2,,h0 h3
h0^2,0,2,0,0,,-90,0,,h0^3,,,t,h1^3,,
h0^3,0,3,0,0,,-90,0,,loc,,,,,,
h1,1,1,1,0,h_1,-60,0,,,,h1^2,,,,h1 h3
h1^2,2,2,2,0,,-90,0,,,,h1^3,,,,h1^2 h3
h2,3,1,2,0,h_2,-60,0,,h0 h2,,,,h2^2,,
h0 h2,3,2,2,0,,-90,0,t,h1^3,,,,,,
h1^3,3,3,3,0,,-90,0,,,,h1^4,,,,
h1^4,4,4,4,1,,-90,0,,,,loc,,,,
h2^2,6,2,4,0,,-90,0,,,,,,h1^2 h3,,
h3,7,1,4,0,h_3,-90,0,,h0 h3,,h1 h3,,,,h3^2
h0 h3,7,2,4,0,,-90,0,,h0^2 h3,,,,,,h0 h3^2
h0^2 h3,7,3,4,0,,-90,0,,h0^3 h3,,,,,,
h0^3 h3,7,4,4,0,,-90,0,,,,,,,,
h1 h3,8,2,5,0,,-90,0,,,,h1^2 h3,,,,
c0,8,3,5,0,c_0,210,0,,,,h1 c0,,,,
h1^2 h3,9,3,6,0,,-90,0,,,,,,,,
h1 c0,9,4,6,0,,-90,0,,,,loc,,,,
P h1,9,5,5,0,P h_1,-90,0,,,,P h1^2,,,,
P h1^2,10,6,6,0,,-90,0,,,,P h1^3,,,,
P h2,11,5,6,0,P h_2,-90,0,,P h0 h2,,,,h0^2 d0,,
P h0 h2,11,6,6,0,,-90,0,t,P h1^3,,,,,,
P h1^3,11,7,7,0,,-90,0,,,,loc,,,,
h3^2,14,2,8,0,h_3^2,-90,0,,h0 h3^2,,,,,,h2^2 h4
h0 h3^2,14,3,8,0,,-90,0,,,,,,,,
d0,14,4,8,0,d_0,-90,0,,h0 d0,,h1 d0,,h0 e0,,
h0 d0,14,5,8,0,,-90,0,,h0^2 d0,,,,h0^2 e0,,
h0^2 d0,14,6,8,0,,-90,0,,,,,t,h1^3 d0,,
h4,15,1,8,0,h_4,-90,0,,h0 h4,,h1 h4,,h2 h4,,
